"STATION","NAME","DATE","ACMH","ACSH","DAPR","DASF","MDPR","MDSF","PGTM","PRCP","PSUN","SNOW","SNWD","TMAX","TMIN","TOBS","TSUN","WDFG","WDFM","WESD","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT14","WT16","WT18"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-30",,,,,,," 1354","0.40",,"0.0","0.0","80","60",,,"   68",,,"16.1",,,,,,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-01",,,,,,," 1000","0.02",,"0.0","0.0","75","60",,,"   23",,,"18.3",,,,,,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-02",,,,,,," 2054","2.05",,"0.0","0.0","87","62",,,"   23",,,"34.4",,,,"    1",,,,"    1","    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-03",,,,,,," 0654","0.01",,"0.0","0.0","73","63",,,"   45",,,"20.8",,"    1",,,,,,,"    1",,,"    1","    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-04",,,,,,," 1730","0.00",,"0.0","0.0","76","56",,,"  315",,,"25.3",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-05",,,,,,," 0930","0.00",,"0.0","0.0","78","57",,,"  315",,,"18.3",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-06",,,,,,," 1542","0.00",,"0.0","0.0","76","62",,,"   68",,,"13.9",,,,,,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-07",,,,,,," 1130","0.00",,"0.0","0.0","83","58",,,"  293",,,"16.1",,"    1",,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-08",,,,,,," 1306","0.00",,"0.0","0.0","87","62",,,"  248",,,"19.5",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-09",,,,,,," 1718","0.00",,"0.0","0.0","86","65",,,"  293",,,"21.9",,,,,,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-10",,,,,,," 1706","0.34",,"0.0","0.0","76","63",,,"   68",,,"16.1",,"    1",,,,,,,"    1",,,"    1","    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-11",,,,,,," 1624","0.00",,"0.0","0.0","80","66",,,"   45",,,"12.8",,"    1",,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-12",,,,,,," 2248","0.00",,"0.0","0.0","85","65",,,"   23",,,"20.8",,"    1",,,,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-13",,,,,,," 1742","0.03",,"0.0","0.0","80","61",,,"   23",,,"38.0",,,,,,,,,"    1",,,,"    1",
